transaction_id,product_id,customer_id,transaction_date,day_of_week,year,month,day,online_order,order_status
1,2,2950,2017-02-25,Saturday,2017,2,25,FALSE,Approved
2,3,3120,2017-05-21,Sunday,2017,5,21,TRUE,Approved
3,37,402,2017-10-16,Monday,2017,10,16,FALSE,Approved
4,88,3135,2017-08-31,Thursday,2017,8,31,FALSE,Approved
5,78,787,2017-10-01,Sunday,2017,10,1,TRUE,Approved
6,25,2339,2017-03-08,Wednesday,2017,3,8,TRUE,Approved
7,22,1542,2017-04-21,Friday,2017,4,21,TRUE,Approved
8,15,2459,2017-07-15,Saturday,2017,7,15,FALSE,Approved
9,67,1305,2017-08-10,Thursday,2017,8,10,FALSE,Approved
10,12,3262,2017-08-30,Wednesday,2017,8,30,TRUE,Approved
11,5,1986,2017-01-17,Tuesday,2017,1,17,FALSE,Approved
12,61,2783,2017-01-05,Thursday,2017,1,5,TRUE,Approved
13,35,1243,2017-02-26,Sunday,2017,2,26,TRUE,Approved
14,16,2717,2017-09-10,Sunday,2017,9,10,FALSE,Approved
15,12,247,2017-06-11,Sunday,2017,6,11,FALSE,Approved
16,3,2961,2017-10-10,Tuesday,2017,10,10,FALSE,Approved
17,79,2426,2017-04-03,Monday,2017,4,3,FALSE,Approved
18,33,1842,2017-06-02,Friday,2017,6,2,FALSE,Approved
19,54,2268,2017-04-06,Thursday,2017,4,6,TRUE,Approved
20,25,3002,2017-01-28,Saturday,2017,1,28,TRUE,Approved
21,27,1582,2017-10-09,Monday,2017,10,9,FALSE,Approved
22,37,595,2017-06-29,Thursday,2017,6,29,TRUE,Approved
23,37,2001,2017-04-08,Saturday,2017,4,8,TRUE,Approved
24,82,515,2017-10-18,Wednesday,2017,10,18,FALSE,Approved
25,89,2822,2017-06-11,Sunday,2017,6,11,FALSE,Approved
26,64,2596,2017-01-10,Tuesday,2017,1,10,FALSE,Approved
27,64,2666,2017-04-11,Tuesday,2017,4,11,TRUE,Approved
28,19,76,2017-12-23,Saturday,2017,12,23,FALSE,Approved
29,72,3368,2017-10-13,Friday,2017,10,13,TRUE,Approved
30,91,1173,2017-03-15,Wednesday,2017,3,15,FALSE,Approved
31,88,2810,2017-09-05,Tuesday,2017,9,5,TRUE,Approved
32,1,3214,2017-02-18,Saturday,2017,2,18,FALSE,Approved
33,25,1272,2017-03-20,Monday,2017,3,20,FALSE,Approved
34,99,2003,2017-02-28,Tuesday,2017,2,28,TRUE,Approved
35,0,2171,2017-08-20,Sunday,2017,8,20,FALSE,Approved
36,92,3356,2017-07-07,Friday,2017,7,7,FALSE,Approved
37,14,1040,2017-01-09,Monday,2017,1,9,FALSE,Approved
38,2,2916,2017-12-06,Wednesday,2017,12,6,FALSE,Approved
39,12,427,2017-09-12,Tuesday,2017,9,12,FALSE,Approved
40,0,2448,2017-11-28,Tuesday,2017,11,28,TRUE,Approved
41,44,2570,2017-05-08,Monday,2017,5,8,TRUE,Approved
42,79,3398,2017-05-14,Sunday,2017,5,14,FALSE,Approved
43,76,488,2017-03-17,Friday,2017,3,17,FALSE,Cancelled
44,46,165,2017-12-22,Friday,2017,12,22,FALSE,Approved
45,55,2787,2017-06-07,Wednesday,2017,6,7,TRUE,Approved
46,66,3053,2017-06-20,Tuesday,2017,6,20,FALSE,Approved
47,35,475,2017-05-07,Sunday,2017,5,7,TRUE,Approved
48,81,1305,2017-06-10,Saturday,2017,6,10,TRUE,Approved
49,86,1251,2017-06-17,Saturday,2017,6,17,FALSE,Approved
50,32,3103,2017-05-10,Wednesday,2017,5,10,FALSE,Approved
51,77,3108,2017-03-24,Friday,2017,3,24,FALSE,Approved
52,96,857,2017-11-27,Monday,2017,11,27,FALSE,Approved
53,6,3455,2017-12-21,Thursday,2017,12,21,TRUE,Approved
54,27,2549,2017-02-09,Thursday,2017,2,9,TRUE,Approved
55,0,3140,2017-09-18,Monday,2017,9,18,FALSE,Approved
56,47,3406,2017-11-14,Tuesday,2017,11,14,FALSE,Approved
57,94,2294,2017-08-30,Wednesday,2017,8,30,TRUE,Approved
58,91,1031,2017-11-14,Tuesday,2017,11,14,FALSE,Approved
59,93,993,2017-02-15,Wednesday,2017,2,15,TRUE,Approved
60,60,3473,2017-12-18,Monday,2017,12,18,FALSE,Approved
61,0,1839,2017-02-24,Friday,2017,2,24,FALSE,Approved
62,33,1824,2017-12-18,Monday,2017,12,18,TRUE,Approved
63,35,368,2017-12-17,Sunday,2017,12,17,FALSE,Approved
64,0,2000,2017-07-08,Saturday,2017,7,8,FALSE,Approved
65,28,825,2017-05-16,Tuesday,2017,5,16,TRUE,Approved
66,86,3315,2017-02-23,Thursday,2017,2,23,TRUE,Approved
67,2,75,2017-07-03,Monday,2017,7,3,TRUE,Approved
68,4,1498,2017-09-30,Saturday,2017,9,30,TRUE,Approved
69,38,1612,2017-10-21,Saturday,2017,10,21,TRUE,Approved
70,27,2192,2017-05-06,Saturday,2017,5,6,TRUE,Approved
71,54,419,2017-01-03,Tuesday,2017,1,3,FALSE,Approved
72,77,3307,2017-05-09,Tuesday,2017,5,9,TRUE,Approved
73,22,2430,2017-07-23,Sunday,2017,7,23,FALSE,Approved
74,56,1506,2017-01-21,Saturday,2017,1,21,TRUE,Approved
75,58,1346,2017-06-20,Tuesday,2017,6,20,FALSE,Approved
76,22,927,2017-03-10,Friday,2017,3,10,FALSE,Approved
77,50,763,2017-06-02,Friday,2017,6,2,FALSE,Approved
78,80,2397,2017-11-07,Tuesday,2017,11,7,FALSE,Approved
79,87,102,2017-09-12,Tuesday,2017,9,12,TRUE,Approved
80,15,2884,2017-12-16,Saturday,2017,12,16,FALSE,Approved
81,84,759,2017-10-07,Saturday,2017,10,7,TRUE,Approved
82,21,773,2017-04-27,Thursday,2017,4,27,TRUE,Approved
83,0,3398,2017-04-01,Saturday,2017,4,1,TRUE,Approved
84,33,3297,2017-11-02,Thursday,2017,11,2,TRUE,Approved
85,84,2434,2017-02-13,Monday,2017,2,13,TRUE,Approved
86,1,1861,2017-07-19,Wednesday,2017,7,19,FALSE,Approved
87,27,1233,2017-05-23,Tuesday,2017,5,23,FALSE,Approved
88,31,1390,2017-08-06,Sunday,2017,8,6,FALSE,Approved
89,0,2682,2017-04-04,Tuesday,2017,4,4,TRUE,Approved
90,62,439,2017-08-15,Tuesday,2017,8,15,TRUE,Approved
91,17,1579,2017-04-15,Saturday,2017,4,15,TRUE,Approved
92,73,2984,2017-07-25,Tuesday,2017,7,25,TRUE,Approved
93,33,3470,2017-11-28,Tuesday,2017,11,28,TRUE,Approved
94,86,1,2017-12-23,Saturday,2017,12,23,FALSE,Approved
